pid,execution_cycles,compute_cycles,idle_cycles,loads,stores,hit_count,miss_count,miss_rate,private,shared,private_rate
0,39203325,11337782,27865543,1832392,744111,2324109,252394,0.09795991,2009704,405133,0.8322317
1,36504446,11290799,25213647,1821846,585998,2176729,231115,0.09598421,1853775,407010,0.8199696
2,39329345,11337671,27991674,1838008,766181,2351248,252941,0.09712851,2060501,378652,0.8447609
3,36667963,11301515,25366448,1832174,579291,2181135,230330,0.09551455,1853415,412052,0.8181161
