pid,execution_cycles,compute_cycles,idle_cycles,loads,stores,hit_count,miss_count,miss_rate,private,shared,private_rate
0,155107305,10430314,144676991,1489888,1007461,1061191,1436158,0.575073,1853081,17646,0.9905673
1,154700451,10383276,144317175,1485857,1004611,1057875,1432593,0.5752304,1856679,8887,0.9952363
2,155703731,10430338,145273393,1492629,1016428,1066993,1442064,0.5747434,1860624,17186,0.9908478
3,155415362,10394904,145020458,1493736,1009391,1063558,1439569,0.5751083,1855367,19920,0.9893776
