pid,execution_cycles,compute_cycles,idle_cycles,loads,stores,hit_count,miss_count,miss_rate,private,shared,private_rate
0,25128716,11337782,13790934,1832392,744111,2457442,119061,0.04621031,1991950,550480,0.7834827
1,24102547,11290799,12811748,1821846,585998,2296972,110872,0.04604617,1953044,428013,0.8202424
2,24844970,11337671,13507299,1838008,766181,2486967,117222,0.04501286,2048355,523413,0.7964774
3,24363041,11301515,13061526,1832174,579291,2297930,113535,0.04708134,1913280,468502,0.8032977
