pid,execution_cycles,compute_cycles,idle_cycles,loads,stores,hit_count,miss_count,miss_rate,private,shared,private_rate
0,13556709,10430314,3126395,1489888,1007461,2490995,6354,0.002544298,2016307,479017,0.8080341
1,14188464,10383276,3805188,1485857,1004611,2477188,13280,0.005332331,2013258,476059,0.8087592
2,13325792,10430338,2895454,1492629,1016428,2505154,3903,0.001555565,2028422,480302,0.8085473
3,13530047,10394904,3135143,1493736,1009391,2496743,6384,0.00255041,2026174,475173,0.8100332
