pid,execution_cycles,compute_cycles,idle_cycles,loads,stores,hit_count,miss_count,miss_rate,private,shared,private_rate
0,13025781,10430314,2595467,1489888,1007461,2496319,1030,0.0004124373,2022179,475061,0.8097656
1,12996423,10383276,2613147,1485857,1004611,2489187,1281,0.0005143612,2016507,473873,0.8097186
2,13140734,10430338,2710396,1492629,1016428,2506972,2085,0.0008309895,2033996,474309,0.8109046
3,13033247,10394904,2638343,1493736,1009391,2501727,1400,0.0005593004,2027419,475619,0.8099833
