pid,execution_cycles,compute_cycles,idle_cycles,loads,stores,hit_count,miss_count,miss_rate,private,shared,private_rate
0,25647243,11337782,14309461,1832392,744111,2459120,117383,0.04555904,1671924,865176,0.6589902
1,24626030,11290799,13335231,1821846,585998,2297830,110014,0.04568984,1209596,1160907,0.5102698
2,25705070,11337671,14367399,1838008,766181,2485318,118871,0.04564607,1988193,566705,0.7781888
3,24760913,11301515,13459398,1832174,579291,2298575,112890,0.04681387,1010542,1364804,0.4254294
