pid,execution_cycles,compute_cycles,idle_cycles,loads,stores,hit_count,miss_count,miss_rate,private,shared,private_rate
0,33204348,10430314,22774034,1489888,1007461,2292534,204815,0.08201297,2126653,340246,0.8620754
1,33077565,10383276,22694289,1485857,1004611,2286389,204079,0.08194404,2118868,341551,0.8611818
2,33536543,10430338,23106205,1492629,1016428,2301005,208052,0.0829204,2133092,343633,0.8612551
3,33249659,10394904,22854755,1493736,1009391,2297555,205572,0.08212608,2127027,345641,0.8602154
