pid,execution_cycles,compute_cycles,idle_cycles,loads,stores,hit_count,miss_count,miss_rate,private,shared,private_rate
0,25700550,11337782,14362768,1832392,744111,2458464,118039,0.04581365,1836209,704970,0.7225815
1,24604995,11290799,13314196,1821846,585998,2297835,110009,0.04568776,1792807,584719,0.7540641
2,25532798,11337671,14195127,1838008,766181,2487495,116694,0.04481011,1993990,572512,0.7769291
3,24790485,11301515,13488970,1832174,579291,2298774,112691,0.04673134,1749991,629119,0.7355654
