pid,execution_cycles,compute_cycles,idle_cycles,loads,stores,hit_count,miss_count,miss_rate,private,shared,private_rate
0,15512236,11337782,4174454,1832392,744111,2567158,9345,0.003627009,2068906,503903,0.8041429
1,15637336,11290799,4346537,1821846,585998,2398349,9495,0.003943362,1906802,498119,0.7928751
2,15588391,11337671,4250720,1838008,766181,2593908,10281,0.00394787,2091652,508445,0.8044515
3,15659154,11301515,4357639,1832174,579291,2402115,9350,0.003877311,1905927,502512,0.7913537
