pid,execution_cycles,compute_cycles,idle_cycles,loads,stores,hit_count,miss_count,miss_rate,private,shared,private_rate
0,169388548,11337782,158050766,1832392,744111,986740,1589763,0.6170235,2083375,45229,0.9787518
1,156347477,11290799,145056678,1821846,585998,943791,1464053,0.6080348,1986590,47344,0.9767229
2,171040266,11337671,159702595,1838008,766181,997278,1606911,0.6170485,2105635,38414,0.9820834
3,156148023,11301515,144846508,1832174,579291,949941,1461524,0.6060731,1994288,46345,0.9772889
