pid,execution_cycles,compute_cycles,idle_cycles,loads,stores,hit_count,miss_count,miss_rate,private,shared,private_rate
0,38540705,11337782,27202923,1832392,744111,2332381,244122,0.09474936,2065592,356824,0.8526991
1,34657328,11290799,23366529,1821846,585998,2199192,208652,0.08665512,1902559,366656,0.8384217
2,40016060,11337671,28678389,1838008,766181,2345695,258494,0.09926084,2112975,326709,0.8660855
3,34332505,11301515,23030990,1832174,579291,2206343,205122,0.08506116,1903716,372053,0.8365155
