pid,execution_cycles,compute_cycles,idle_cycles,loads,stores,hit_count,miss_count,miss_rate,private,shared,private_rate
0,43438770,10430314,33008456,1489888,1007461,2189156,308193,0.1234081,1927710,402872,0.8271367
1,43262784,10383276,32879508,1485857,1004611,2183508,306960,0.1232539,1922212,402135,0.8269901
2,43967084,10430338,33536746,1492629,1016428,2195646,313411,0.1249119,1937411,401659,0.8282826
3,43501307,10394904,33106403,1493736,1009391,2194003,309124,0.1234951,1930472,405519,0.8264039
