pid,execution_cycles,compute_cycles,idle_cycles,loads,stores,hit_count,miss_count,miss_rate,private,shared,private_rate
0,14760747,10430314,4330433,1489888,1007461,2478833,18516,0.007414262,2022577,474075,0.8101157
1,14686830,10383276,4303554,1485857,1004611,2472154,18314,0.007353638,2016724,472882,0.8100575
2,15071360,10430338,4641022,1492629,1016428,2487522,21535,0.008582906,2032543,473551,0.8110402
3,14740223,10394904,4345319,1493736,1009391,2484519,18608,0.007433902,2026851,475344,0.8100292
