pid,execution_cycles,compute_cycles,idle_cycles,loads,stores,hit_count,miss_count,miss_rate,private,shared,private_rate
0,22095129,10430314,11664815,1489888,1007461,2405999,91350,0.03657879,2057320,429386,0.8273274
1,22045731,10383276,11662455,1485857,1004611,2399287,91181,0.03661199,2060072,419810,0.8307137
2,22173752,10430338,11743414,1492629,1016428,2416630,92427,0.03683735,2079372,418680,0.8323974
3,22148558,10394904,11753654,1493736,1009391,2411246,91881,0.03670649,2074792,417598,0.8324508
