pid,execution_cycles,compute_cycles,idle_cycles,loads,stores,hit_count,miss_count,miss_rate,private,shared,private_rate
0,36914460,11337782,25576678,1832392,744111,2344178,232325,0.09017067,2135438,362565,0.8548581
1,30684370,11290799,19393571,1821846,585998,2236271,171573,0.07125586,1976633,371226,0.8418874
2,37921046,11337671,26583375,1838008,766181,2361975,242214,0.09300938,2174283,348692,0.8617933
3,30372205,11301515,19070690,1832174,579291,2243190,168275,0.06978123,1961866,390596,0.8339629
