pid,execution_cycles,compute_cycles,idle_cycles,loads,stores,hit_count,miss_count,miss_rate,private,shared,private_rate
0,71324100,10430314,60893786,1489888,1007461,1907486,589863,0.2361957,2041700,174917,0.9210883
1,71138016,10383276,60754740,1485857,1004611,1901940,588528,0.2363122,2048160,162396,0.9265361
2,72159611,10430338,61729273,1492629,1016428,1910873,598184,0.2384099,2049398,173084,0.9221213
3,71513456,10394904,61118552,1493736,1009391,1911052,592075,0.2365341,2061693,159941,0.9280075
