pid,execution_cycles,compute_cycles,idle_cycles,loads,stores,hit_count,miss_count,miss_rate,private,shared,private_rate
0,26739995,10430314,16309681,1489888,1007461,2381045,116304,0.04657098,2080769,398542,0.8392529
1,26628304,10383276,16245028,1485857,1004611,2374754,115714,0.04646275,2073624,398934,0.8386554
2,26942068,10430338,16511730,1492629,1016428,2390727,118330,0.04716114,2092102,397998,0.8401679
3,26753506,10394904,16358602,1493736,1009391,2386205,116922,0.04671037,2087866,397114,0.8401943
