pid,execution_cycles,compute_cycles,idle_cycles,loads,stores,hit_count,miss_count,miss_rate,private,shared,private_rate
0,25804061,10430314,15373747,1489888,1007461,2359634,137715,0.05514448,2040501,409100,0.8329932
1,25728801,10383276,15345525,1485857,1004611,2353338,137130,0.05506194,2037251,405767,0.8339075
2,26238623,10430338,15808285,1492629,1016428,2367614,141443,0.05637297,2061330,398019,0.8381608
3,25855821,10394904,15460917,1493736,1009391,2364773,138354,0.05527247,2045550,409702,0.8331324
