pid,execution_cycles,compute_cycles,idle_cycles,loads,stores,hit_count,miss_count,miss_rate,private,shared,private_rate
0,27305845,11337782,15968063,1832392,744111,2440495,136008,0.05278783,2041011,436632,0.8237712
1,25606461,11290799,14315662,1821846,585998,2286446,121398,0.05041772,1921688,402350,0.8268746
2,27393087,11337671,16055416,1838008,766181,2467648,136541,0.05243129,2081654,424513,0.8306126
3,25913722,11301515,14612207,1832174,579291,2286795,124670,0.05169886,1870812,451563,0.8055598
