pid,execution_cycles,compute_cycles,idle_cycles,loads,stores,hit_count,miss_count,miss_rate,private,shared,private_rate
0,91697336,10430314,81267022,1489888,1007461,2299785,197564,0.07910949,2154279,294455,0.8797521
1,91309033,10383276,80925757,1485857,1004611,2293453,197015,0.07910762,2149894,292043,0.8804052
2,91893391,10430338,81463053,1492629,1016428,2310271,198786,0.07922738,2164471,295476,0.8798852
3,91986041,10394904,81591137,1493736,1009391,2304792,198335,0.07923489,2158441,295816,0.8794682
