pid,execution_cycles,compute_cycles,idle_cycles,loads,stores,hit_count,miss_count,miss_rate,private,shared,private_rate
0,23357808,10430314,12927494,1489888,1007461,2391994,105355,0.04218673,2075055,410070,0.8349902
1,23271219,10383276,12887943,1485857,1004611,2385443,105025,0.04217079,2070747,407582,0.8355416
2,23546255,10430338,13115917,1492629,1016428,2401917,107140,0.0427013,2084812,411357,0.8352047
3,23388665,10394904,12993761,1493736,1009391,2397161,105966,0.04233345,2085582,405223,0.8373124
