pid,execution_cycles,compute_cycles,idle_cycles,loads,stores,hit_count,miss_count,miss_rate,private,shared,private_rate
0,15826959,10430314,5396645,1489888,1007461,2477102,20247,0.008107397,2018987,477131,0.8088508
1,15755589,10383276,5372313,1485857,1004611,2470521,19947,0.008009338,2013944,475507,0.8089912
2,16088739,10430338,5658401,1492629,1016428,2486269,22788,0.009082297,2030338,475943,0.8100999
3,15805723,10394904,5410819,1493736,1009391,2482837,20290,0.008105861,2023539,478490,0.8087592
