pid,execution_cycles,compute_cycles,idle_cycles,loads,stores,hit_count,miss_count,miss_rate,private,shared,private_rate
0,18167716,11337782,6829934,1832392,744111,2542053,34450,0.01337084,2054414,506659,0.8021692
1,16876280,11290799,5585481,1821846,585998,2382396,25448,0.01056879,1907872,487684,0.7964214
2,18087545,11337671,6749874,1838008,766181,2570876,33313,0.01279208,2097429,490417,0.8104922
3,16843172,11301515,5541657,1832174,579291,2386380,25085,0.01040239,1861580,537147,0.77607
