pid,execution_cycles,compute_cycles,idle_cycles,loads,stores,hit_count,miss_count,miss_rate,private,shared,private_rate
0,25695590,11337782,14357808,1832392,744111,2458462,118041,0.04581442,1837492,703675,0.7230898
1,24601182,11290799,13310383,1821846,585998,2297854,109990,0.04567987,1794253,583302,0.7546631
2,25530110,11337671,14192439,1838008,766181,2487498,116691,0.04480896,1994043,572453,0.7769515
3,24784038,11301515,13482523,1832174,579291,2298761,112704,0.04673673,1749500,629596,0.7353633
