pid,execution_cycles,compute_cycles,idle_cycles,loads,stores,hit_count,miss_count,miss_rate,private,shared,private_rate
0,110775932,11337782,99438150,1832392,744111,1557403,1019100,0.3955361,2186091,102512,0.9552076
1,100565798,11290799,89274999,1821846,585998,1483863,923981,0.3837379,2055022,113179,0.9478005
2,110471077,11337671,99133406,1838008,766181,1588304,1015885,0.3900965,2198224,114603,0.950449
3,99405939,11301515,88104424,1832174,579291,1499623,911842,0.3781278,2071771,104942,0.9517888
