pid,execution_cycles,compute_cycles,idle_cycles,loads,stores,hit_count,miss_count,miss_rate,private,shared,private_rate
0,124882605,10430314,114452291,1489888,1007461,1366491,1130858,0.4528234,2050678,11412,0.9944658
1,124525113,10383276,114141837,1485857,1004611,1362673,1127795,0.4528446,2044371,12008,0.9941606
2,125276933,10430338,114846595,1492629,1016428,1374331,1134726,0.452252,2058510,12535,0.9939475
3,125101973,10394904,114707069,1493736,1009391,1369753,1133374,0.4527833,2053546,13385,0.9935242
