pid,execution_cycles,compute_cycles,idle_cycles,loads,stores,hit_count,miss_count,miss_rate,private,shared,private_rate
0,33374705,10430314,22944391,1489888,1007461,2291683,205666,0.08235373,2146338,315556,0.8718239
1,33007622,10383276,22624346,1485857,1004611,2287778,202690,0.08138631,2182029,267752,0.8907037
2,33569082,10430338,23138744,1492629,1016428,2301492,207565,0.0827263,2156087,316577,0.8719693
3,33100180,10394904,22705276,1493736,1009391,2299660,203467,0.08128513,2180880,281868,0.8855474
