pid,execution_cycles,compute_cycles,idle_cycles,loads,stores,hit_count,miss_count,miss_rate,private,shared,private_rate
0,26238599,11337782,14900817,1832392,744111,2455169,121334,0.04709251,1868695,644897,0.7434361
1,25089841,11290799,13799042,1821846,585998,2294652,113192,0.04700969,1831869,519653,0.7790142
2,25937215,11337671,14599544,1838008,766181,2484277,119912,0.04604581,1983940,558966,0.7801861
3,25218403,11301515,13916888,1832174,579291,2295614,115851,0.04804175,1788107,565880,0.7596078
