pid,execution_cycles,compute_cycles,idle_cycles,loads,stores,hit_count,miss_count,miss_rate,private,shared,private_rate
0,25883781,11337782,14545999,1832392,744111,2455599,120904,0.04692562,2016480,519747,0.7950708
1,24843172,11290799,13552373,1821846,585998,2295273,112571,0.04675178,1949442,420082,0.8227146
2,25914425,11337671,14576754,1838008,766181,2483254,120935,0.04643864,2066588,486236,0.8095302
3,25112533,11301515,13811018,1832174,579291,2296318,115147,0.04774981,1905727,468288,0.8027443
