pid,execution_cycles,compute_cycles,idle_cycles,loads,stores,hit_count,miss_count,miss_rate,private,shared,private_rate
0,142569450,10430314,132139136,1489888,1007461,1187836,1309513,0.5243612,1982966,6840,0.9965625
1,142114680,10383276,131731404,1485857,1004611,1185004,1305464,0.5241842,1976139,8225,0.9958551
2,143096279,10430338,132665941,1492629,1016428,1194341,1314716,0.5239881,1991081,6950,0.9965216
3,142788605,10394904,132393701,1493736,1009391,1191101,1312026,0.5241548,1987929,6623,0.9966795
