pid,execution_cycles,compute_cycles,idle_cycles,loads,stores,hit_count,miss_count,miss_rate,private,shared,private_rate
0,20426010,11337782,9088228,1832392,744111,2510728,65775,0.02552879,1987333,572331,0.7764039
1,19791598,11290799,8500799,1821846,585998,2346299,61545,0.02556021,1934460,458737,0.8083162
2,20434874,11337671,9097203,1838008,766181,2538603,65586,0.02518481,2016149,566483,0.7806567
3,19952059,11301515,8650544,1832174,579291,2348444,63021,0.02613391,1896849,496132,0.792672
