pid,execution_cycles,compute_cycles,idle_cycles,loads,stores,hit_count,miss_count,miss_rate,private,shared,private_rate
0,23314842,10430314,12884528,1489888,1007461,2392428,104921,0.04201295,2080622,403504,0.837567
1,23209344,10383276,12826068,1485857,1004611,2386068,104400,0.04191983,2074904,402398,0.837566
2,23492993,10430338,13062655,1492629,1016428,2402455,106602,0.04248688,2090890,404214,0.8379971
3,23323325,10394904,12928421,1493736,1009391,2397821,105306,0.04206978,2082907,406908,0.836571
