pid,execution_cycles,compute_cycles,idle_cycles,loads,stores,hit_count,miss_count,miss_rate,private,shared,private_rate
0,27912436,11337782,16574654,1832392,744111,2440948,135555,0.05261201,2035494,441893,0.8216294
1,26021506,11290799,14730707,1821846,585998,2287226,120618,0.05009378,1899548,424104,0.8174839
2,28196917,11337671,16859246,1838008,766181,2466133,138056,0.05301305,2076656,425962,0.8297934
3,26330129,11301515,15028614,1832174,579291,2287271,124194,0.05150147,1849031,472741,0.7963878
