pid,execution_cycles,compute_cycles,idle_cycles,loads,stores,hit_count,miss_count,miss_rate,private,shared,private_rate
0,31616467,11337782,20278685,1832392,744111,2397589,178914,0.06944063,2032086,411550,0.8315829
1,30694646,11290799,19403847,1821846,585998,2235815,172029,0.07144524,1876822,404749,0.8226007
2,32967920,11337671,21630249,1838008,766181,2411909,192280,0.07383489,2078319,382172,0.8446765
3,30248588,11301515,18947073,1832174,579291,2244053,167412,0.06942336,1874325,414422,0.8189306
