pid,execution_cycles,compute_cycles,idle_cycles,loads,stores,hit_count,miss_count,miss_rate,private,shared,private_rate
0,30804239,10430314,20373925,1489888,1007461,2317073,180276,0.07218695,2179799,287441,0.8834969
1,30678685,10383276,20295409,1485857,1004611,2310849,179619,0.07212259,2171241,289250,0.8824422
2,30953130,10430338,20522792,1492629,1016428,2327304,181753,0.07243877,2168600,309764,0.8750127
3,30834502,10394904,20439598,1493736,1009391,2322246,180881,0.07226201,2185041,287849,0.8835981
