pid,execution_cycles,compute_cycles,idle_cycles,loads,stores,hit_count,miss_count,miss_rate,private,shared,private_rate
0,30671205,11337782,19333423,1832392,744111,2407163,169340,0.06572474,2130599,387481,0.8461205
1,23796301,11290799,12505502,1821846,585998,2305742,102102,0.04240391,1976393,392395,0.8343478
2,31030862,11337671,19693191,1838008,766181,2431467,172722,0.06632468,2181511,362465,0.8575203
3,23695573,11301515,12394058,1832174,579291,2310546,100919,0.04184966,1968618,404415,0.8295789
