pid,execution_cycles,compute_cycles,idle_cycles,loads,stores,hit_count,miss_count,miss_rate,private,shared,private_rate
0,26760533,11337782,15422751,1832392,744111,2450994,125509,0.04871293,1993221,499827,0.7995117
1,25571110,11290799,14280311,1821846,585998,2291019,116825,0.04851851,1860207,471553,0.7977695
2,26520855,11337671,15183184,1838008,766181,2480836,123353,0.04736715,2063769,459378,0.8179345
3,25659960,11301515,14358445,1832174,579291,2291945,119520,0.04956323,1813233,519503,0.7772988
