pid,execution_cycles,compute_cycles,idle_cycles,loads,stores,hit_count,miss_count,miss_rate,private,shared,private_rate
0,127020091,10430314,116589777,1489888,1007461,1336396,1160953,0.4648742,1972815,81619,0.9602718
1,126622263,10383276,116238987,1485857,1004611,1332799,1157669,0.4648399,1956798,92022,0.9550854
2,127355997,10430338,116925659,1492629,1016428,1344416,1164641,0.4641748,1967844,95620,0.9536604
3,127177336,10394904,116782432,1493736,1009391,1339716,1163411,0.464783,1974419,84911,0.9587677
